City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
1,Salinopolis,BR,78.37,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
4,East London,ZA,75.56,overcast clouds,-33.0153,27.9116,Tu Casa
10,Victoria,HK,87.85,overcast clouds,22.2855,114.1577,Mini Central
11,Los Llanos De Aridane,ES,65.95,overcast clouds,28.6585,-17.9182,Valle Aridane
13,Semirom,IR,64.06,clear sky,31.4167,51.5667,Motel Dena
17,Bethel,US,67.62,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
18,Kinablangan,PH,84.99,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
19,Mandalgovi,MN,68.97,scattered clouds,45.7625,106.2708,В.Ганбат
20,Vaini,TO,82.56,smoke,-21.2,-175.2,Keleti Beach Resort
21,Carutapera,BR,75.4,clear sky,-1.195,-46.02,Lidera
22,Butaritari,KI,82.02,clear sky,3.0707,172.7902,Isles Sunset Lodge
23,Hilo,US,87.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
24,Dudinka,RU,70.92,broken clouds,69.4058,86.1778,Hotel Viktoria
27,Samarai,PG,83.35,broken clouds,-10.6167,150.6667,Nuli Sapi
31,Bandarbeyla,SO,80.89,overcast clouds,9.4942,50.8122,JABIR HOTEL
32,Busselton,AU,60.15,overcast clouds,-33.65,115.3333,Observatory Guest House
33,Ulaangom,MN,80.51,broken clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
34,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
35,Rikitea,PF,73.24,scattered clouds,-23.1203,-134.9692,People ThankYou
36,Hailar,CN,67.39,moderate rain,49.2,119.7,Holiday Inn & Suites Hulunbuir
37,Hermanus,ZA,63.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
39,Tautira,PF,78.55,few clouds,-17.7333,-149.15,Pension Oaoa
41,Powell,US,73.4,scattered clouds,40.1578,-83.0752,The Brig
42,Nha Trang,VN,89.6,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
43,Nouadhibou,MR,66.88,few clouds,20.931,-17.0347,El Medina
45,Hithadhoo,MV,83.64,overcast clouds,-0.6,73.0833,Scoop Guest House
46,Carnarvon,AU,68.22,clear sky,-24.8667,113.6333,Hospitality Carnarvon
47,Port Elizabeth,ZA,67.32,overcast clouds,-33.918,25.5701,39 On Nile Guest House
48,Vung Tau,VN,84.11,broken clouds,10.346,107.0843,Seaside Resort
51,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
52,Gbarnga,LR,70.2,overcast clouds,6.9956,-9.4722,Passion Hotel 2
53,Monrovia,LR,77.2,light rain,6.3005,-10.7969,Sunset Inn
55,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
56,Ishigaki,JP,82.72,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
58,Nara,JP,81.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
59,Zhangjiakou,CN,70.88,broken clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
63,Jamestown,US,64.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
64,Ponta Do Sol,PT,68.72,few clouds,32.6667,-17.1,Hotel do Campo
65,Yellowknife,CA,62.17,scattered clouds,62.456,-114.3525,The Explorer Hotel
67,Umm Lajj,SA,84.88,clear sky,25.0213,37.2685,Moon light Furnished Units
68,Dingle,PH,87.8,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
69,Labuhan,ID,83.66,overcast clouds,-6.8844,112.2051,DoubleFAG
71,Harper,LR,77.49,overcast clouds,4.375,-7.7169,Screensaver
73,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
75,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
76,Tocopilla,CL,62.4,clear sky,-22.092,-70.1979,Hotel Galvarino
77,Angoche,MZ,66.76,light rain,-16.2325,39.9086,Guest House HESADA
78,Kavaratti,IN,82.92,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
79,Warri,NG,75.76,light rain,5.5167,5.75,BON Hotel Delta
80,Saint-Philippe,RE,69.39,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
81,Cherskiy,RU,69.6,few clouds,68.75,161.3,Gostinitsa
82,Kruisfontein,ZA,62.02,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
83,Koson,UZ,75.52,clear sky,39.0375,65.585,Jamshid Orziev ning uyi
85,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Pirineos
91,Saint-Joseph,RE,68.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
93,Birjand,IR,76.24,clear sky,32.8663,59.2211,Birjand Tourist Hotel
94,Marmaris,TR,73.11,clear sky,36.855,28.2742,BLUE BAY PLATINUM HOTEL
95,Ribeira Grande,PT,62.92,broken clouds,38.5167,-28.7,Quinta da Meia Eira
101,Kirakira,SB,84.7,scattered clouds,-10.4544,161.9205,SanBiz Lodge
103,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
104,Khatanga,RU,67.87,overcast clouds,71.9667,102.5,"""Khatanga"""
105,Waingapu,ID,83.8,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
106,Mahina,PF,83.97,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
111,Salalah,OM,82.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
113,Esperance,AU,62.44,overcast clouds,-33.8667,121.9,Hospitality Esperance
114,Sabha,LY,75.18,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
115,Faya,SA,64.92,clear sky,18.3851,42.4509,املاك خالد الشعشوع
116,Faanui,PF,79.75,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
117,Hasaki,JP,75.29,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
118,Pacific Grove,US,68.54,overcast clouds,36.6177,-121.9166,Lovers Point Inn
119,Cartagena,CO,78.42,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
120,La Asuncion,VE,77.95,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
122,Sao Filipe,CV,72.81,scattered clouds,14.8961,-24.4956,Hotel Xaguate
124,Coahuayana,MX,80.73,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
125,Cubarral,CO,68.2,overcast clouds,3.7935,-73.8406,Hotel Shaloom
126,Balabac,PH,86.61,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
127,Broome,US,65.53,light rain,42.2506,-75.833,Chenango Valley State Park
128,Fairbanks,US,68.59,haze,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
132,Talnakh,RU,70.02,broken clouds,69.4865,88.3972,Talnakh Hotel
133,Buchanan,LR,75.78,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
134,Buala,SB,84.51,light rain,-8.145,159.5921,Maringe Lagoon Lodge
136,Kulhudhuffushi,MV,82.63,overcast clouds,6.6221,73.07,Haajy Guest House 1
137,Booue,GA,71.15,scattered clouds,-0.0921,11.9385,Splendeur de l'équateur
139,Kavieng,PG,83.44,light rain,-2.5744,150.7967,Nusa Island Retreat
140,Suez,EG,71.37,clear sky,29.9737,32.5263,Green House
143,Atuona,PF,77.52,broken clouds,-9.8,-139.0333,Villa Enata
145,Pemba,MZ,69.4,clear sky,-12.974,40.5178,Guesthouse Samotina
146,Encheng,CN,83.97,light rain,22.1839,112.3026,Pinghu Hostel
147,Pisco,PE,60.85,mist,-13.7,-76.2167,Hotel San Isidro Oficial
148,Anloga,GH,78.84,overcast clouds,5.7947,0.8973,Pin Drop Hotel
149,Tabuk,PH,87.91,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
150,Wum,CM,61.79,broken clouds,6.3833,10.0667,Wum Council Hall
151,Omboue,GA,73.87,few clouds,-1.5746,9.2618,Hotel Olako
153,Kalmunai,LK,84.65,broken clouds,7.4167,81.8167,VS Villa
154,Westport,US,69.35,overcast clouds,41.1415,-73.3579,The Westport Inn
157,Lagoa,PT,62.2,light rain,39.05,-27.9833,Casa Das Faias
158,Dover,US,72.1,clear sky,39.1582,-75.5244,Bally's Dover Casino Resort
160,Lagonoy,PH,88.56,scattered clouds,13.7342,123.5207,Lagonoy Hotel
163,Praia Da Vitoria,PT,61.75,light rain,38.7333,-27.0667,Hotel Branco I
164,Staryy Saltiv,UA,64.45,few clouds,50.0827,36.7939,"База спортивного отдыха ""Лесные Озера"""
165,Suleja,NG,73.17,broken clouds,9.1758,7.1808,Capy Motel
166,Bitung,ID,88.65,overcast clouds,1.4451,125.1824,K2 Lembeh
168,Anadyr,RU,61.3,few clouds,64.75,177.4833,Отке17.ру — жильё для командированных
169,Aroeiras,BR,66.42,few clouds,-7.5453,-35.7075,Hotel Acauã
170,Port Augusta,AU,60.94,few clouds,-32.5,137.7667,Majestic Oasis Apartments
171,La Orilla,MX,81.46,few clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
173,Wajir,KE,72.52,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
175,Arraial Do Cabo,BR,67.93,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
176,Mantua,IT,69.35,scattered clouds,45.1667,10.7833,Hotel la Favorita
177,Lazaro Cardenas,MX,81.84,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
178,Vanimo,PG,85.77,clear sky,-2.6741,141.3028,Vahmoneh Lodge Vanimo
180,Oktyabrskoye,RU,62.74,broken clouds,43.0645,44.7417,Prolesok Mini-hotel
185,Warrensburg,US,84.38,clear sky,38.7628,-93.7361,Comfort Inn Warrensburg Station
187,Chernyshevskiy,RU,68.2,scattered clouds,63.0128,112.4714,Chernyseyskiy
188,Douglas,US,82.6,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
189,Vila Franca Do Campo,PT,62.2,few clouds,37.7167,-25.4333,Pestana Bahia Praia
191,Kawalu,ID,82.44,overcast clouds,-7.3817,108.2082,West Jontor
192,Asau,RO,63.52,few clouds,46.4333,26.4,Casa Mika Ciobanus
194,Souillac,MU,72.14,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
195,Kazachinskoye,RU,77.0,scattered clouds,57.6953,93.2761,"Tayga, Gostinitsa"
197,Banjar,ID,83.7,overcast clouds,-8.19,114.9675,The Hamsa Resort
199,Singleton,AU,60.66,clear sky,-32.5667,151.1833,Quest Singleton
200,Dharchula,IN,86.52,few clouds,29.85,80.5333,Mahara Hotel
201,Mirador,BR,73.27,broken clouds,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
202,Hamilton,US,76.6,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
203,Luanda,AO,67.84,clear sky,-8.8368,13.2343,EPIC SANA Luanda
204,Abha,SA,64.65,clear sky,18.2164,42.5053,Abha Hotel
205,Geraldton,AU,68.41,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
206,Namibe,AO,67.75,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
208,Guerrero Negro,MX,65.23,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
209,Jacmel,HT,82.24,scattered clouds,18.2342,-72.5347,Historic Hotel Florita
210,Thompson,CA,60.64,broken clouds,55.7435,-97.8558,Burntwood Hotel
211,Lompoc,US,71.74,fog,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
214,Hobyo,SO,78.4,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
219,Sur,OM,83.48,clear sky,22.5667,59.5289,Sur Plaza Hotel
222,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
224,Raxaul,IN,94.64,scattered clouds,26.9833,84.85,R S Residency
229,Tabou,CI,77.43,overcast clouds,4.423,-7.3528,hotêl doufoulougou
231,Port Alfred,ZA,70.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
232,Lima,PE,60.91,overcast clouds,-12.0432,-77.0282,Hotel Kamana
233,Lawrenceburg,US,80.49,few clouds,38.0373,-84.8966,Best Western Lawrenceburg Inn
234,Kamaishi,JP,61.2,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
235,Huntsville,US,82.31,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
238,Nador,MA,71.85,clear sky,35.174,-2.9287,Hôtel La Giralda
239,Tororo,UG,63.46,broken clouds,0.693,34.1809,Prime Hotel Tororo
240,Severo-Yeniseyskiy,RU,68.94,light rain,60.3725,93.0408,Aktolik
241,Ambilobe,MG,64.81,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
243,Perth,AU,67.03,broken clouds,-31.9333,115.8333,Quest on Rheola
247,Mahebourg,MU,70.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
249,Zhongshan,CN,85.73,overcast clouds,21.3226,110.5829,Jianmin Restaurant
250,Hun,LY,71.02,clear sky,29.1268,15.9477,Alrwasi Hotel
255,San Gwann,MT,70.65,few clouds,35.9056,14.4761,Grand Hotel Excelsior Malta
256,Eyl,SO,80.8,overcast clouds,7.9803,49.8164,Amiin Hotel
257,Malpe,IN,79.9,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
258,Sibu,MY,76.39,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
260,Bubaque,GW,80.1,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
261,Mae Sai,TH,83.66,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
263,Bosaso,SO,91.17,overcast clouds,11.2842,49.1816,Red Sea Hotel
265,Port Orange,US,81.99,broken clouds,29.1383,-80.9956,"Holiday Inn Express & Suites Oceanfront Daytona Beach Shores, an IHG Hotel"
267,Port-Gentil,GA,77.59,overcast clouds,-0.7193,8.7815,Fengshui Residence
268,Moose Jaw,CA,63.63,overcast clouds,50.4001,-105.5344,Temple Gardens Hotel & Spa
270,Cap Malheureux,MU,70.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
272,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
274,Kodiak,US,67.51,smoke,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
275,Griffith,US,62.53,broken clouds,41.5284,-87.4237,Apartment above Depot Bar
