City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,80.65,65,92,9.22,overcast clouds
1,Salinopolis,BR,-0.6136,-47.3561,78.37,81,2,7.4,clear sky
2,Minas,UY,-34.3759,-55.2377,40.93,79,13,1.95,few clouds
3,Albany,US,42.6001,-73.9662,65.73,91,100,3.65,overcast clouds
4,East London,ZA,-33.0153,27.9116,75.56,30,100,12.46,overcast clouds
5,Barrow,US,71.2906,-156.7887,30.22,86,100,5.75,overcast clouds
6,Mataura,NZ,-46.1927,168.8643,46.47,87,99,12.53,overcast clouds
7,Klaksvik,FO,62.2266,-6.589,47.32,91,98,13.18,overcast clouds
8,Launceston,AU,-41.45,147.1667,52.61,54,5,1.14,clear sky
9,Ushuaia,AR,-54.8,-68.3,38.86,100,100,2.3,fog
10,Victoria,HK,22.2855,114.1577,87.85,81,100,20.0,overcast clouds
11,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,91,100,6.91,overcast clouds
12,Nikolskoye,RU,59.7035,30.7861,57.79,80,94,4.43,overcast clouds
13,Semirom,IR,31.4167,51.5667,64.06,20,0,2.53,clear sky
14,Richards Bay,ZA,-28.783,32.0377,57.31,60,3,8.5,clear sky
15,Leningradskiy,RU,69.3833,178.4167,35.44,85,99,7.65,overcast clouds
16,Aklavik,CA,68.2191,-135.0107,42.96,71,100,12.44,overcast clouds
17,Bethel,US,41.3712,-73.414,67.62,94,83,3.44,broken clouds
18,Kinablangan,PH,7.6947,126.5503,84.99,68,100,4.27,overcast clouds
19,Mandalgovi,MN,45.7625,106.2708,68.97,30,49,9.42,scattered clouds
20,Vaini,TO,-21.2,-175.2,82.56,74,40,11.5,smoke
21,Carutapera,BR,-1.195,-46.02,75.4,89,1,5.41,clear sky
22,Butaritari,KI,3.0707,172.7902,82.02,69,0,13.51,clear sky
23,Hilo,US,19.7297,-155.09,87.28,76,100,6.91,overcast clouds
24,Dudinka,RU,69.4058,86.1778,70.92,35,65,9.19,broken clouds
25,Pevek,RU,69.7008,170.3133,40.24,62,81,13.94,broken clouds
26,Hobart,AU,-42.8794,147.3294,53.06,64,20,13.8,few clouds
27,Samarai,PG,-10.6167,150.6667,83.35,71,75,9.89,broken clouds
28,Lebu,CL,-37.6167,-73.65,48.25,89,100,10.33,overcast clouds
29,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,100,9.22,overcast clouds
30,Chuy,UY,-33.6971,-53.4616,45.52,94,4,6.06,clear sky
31,Bandarbeyla,SO,9.4942,50.8122,80.89,66,99,25.7,overcast clouds
32,Busselton,AU,-33.65,115.3333,60.15,71,96,16.78,overcast clouds
33,Ulaangom,MN,49.9811,92.0667,80.51,28,78,3.78,broken clouds
34,Kapaa,US,22.0752,-159.319,84.18,82,40,17.27,scattered clouds
35,Rikitea,PF,-23.1203,-134.9692,73.24,68,27,12.5,scattered clouds
36,Hailar,CN,49.2,119.7,67.39,61,94,7.27,moderate rain
37,Hermanus,ZA,-34.4187,19.2345,63.81,79,100,14.61,overcast clouds
38,Pinerovka,RU,51.562,43.0689,57.15,77,0,6.04,clear sky
39,Tautira,PF,-17.7333,-149.15,78.55,68,21,18.32,few clouds
40,Pangnirtung,CA,66.1451,-65.7125,27.39,92,79,1.86,broken clouds
41,Powell,US,40.1578,-83.0752,73.4,93,40,3.44,scattered clouds
42,Nha Trang,VN,12.25,109.1833,89.6,58,99,5.28,overcast clouds
43,Nouadhibou,MR,20.931,-17.0347,66.88,86,18,25.75,few clouds
44,Stornoway,GB,58.2093,-6.3865,49.93,90,75,5.75,broken clouds
45,Hithadhoo,MV,-0.6,73.0833,83.64,72,100,7.47,overcast clouds
46,Carnarvon,AU,-24.8667,113.6333,68.22,57,4,14.32,clear sky
47,Port Elizabeth,ZA,-33.918,25.5701,67.32,64,100,4.0,overcast clouds
48,Vung Tau,VN,10.346,107.0843,84.11,72,60,4.9,broken clouds
49,Nome,US,64.5011,-165.4064,51.17,49,100,10.36,overcast clouds
50,Beringovskiy,RU,63.05,179.3167,43.66,63,38,5.66,scattered clouds
51,Alofi,NU,-19.0595,-169.9187,80.49,78,40,11.5,scattered clouds
52,Gbarnga,LR,6.9956,-9.4722,70.2,100,91,2.17,overcast clouds
53,Monrovia,LR,6.3005,-10.7969,77.2,87,52,7.0,light rain
54,Glenluce,GB,54.8798,-4.8084,49.26,92,85,13.31,overcast clouds
55,Georgetown,MY,5.4112,100.3354,87.73,70,20,3.44,few clouds
56,Ishigaki,JP,24.3448,124.1572,82.72,88,83,22.08,broken clouds
57,Quesnel,CA,52.9999,-122.5029,59.5,58,75,5.75,broken clouds
58,Nara,JP,34.6851,135.8049,81.5,28,100,2.89,overcast clouds
59,Zhangjiakou,CN,40.81,114.8794,70.88,39,72,12.28,broken clouds
60,La Ronge,CA,55.1001,-105.2842,54.3,91,81,4.81,broken clouds
61,Qaanaaq,GL,77.484,-69.3632,23.56,72,1,6.87,clear sky
62,Punta Arenas,CL,-53.15,-70.9167,46.11,87,100,9.8,overcast clouds
63,Jamestown,US,42.097,-79.2353,64.02,66,98,1.01,overcast clouds
64,Ponta Do Sol,PT,32.6667,-17.1,68.72,80,23,2.06,few clouds
65,Yellowknife,CA,62.456,-114.3525,62.17,56,26,2.21,scattered clouds
66,Upernavik,GL,72.7868,-56.1549,28.18,77,69,1.63,broken clouds
67,Umm Lajj,SA,25.0213,37.2685,84.88,54,0,7.72,clear sky
68,Dingle,PH,10.9995,122.6711,87.8,63,62,5.37,broken clouds
69,Labuhan,ID,-6.8844,112.2051,83.66,73,100,5.91,overcast clouds
70,Vanavara,RU,60.34,102.2797,71.74,40,87,7.05,overcast clouds
71,Harper,LR,4.375,-7.7169,77.49,79,100,8.72,overcast clouds
72,Kangundo,KE,-1.2979,37.3471,56.89,92,95,0.92,overcast clouds
73,Puerto Ayora,EC,-0.7393,-90.3518,72.55,87,96,3.0,overcast clouds
74,Ancud,CL,-41.8697,-73.8203,51.22,87,100,11.18,light rain
75,Kloulklubed,PW,7.0419,134.2556,82.9,76,100,10.71,overcast clouds
76,Tocopilla,CL,-22.092,-70.1979,62.4,65,7,6.02,clear sky
77,Angoche,MZ,-16.2325,39.9086,66.76,92,30,9.82,light rain
78,Kavaratti,IN,10.5669,72.642,82.92,75,100,13.58,overcast clouds
79,Warri,NG,5.5167,5.75,75.76,94,100,1.61,light rain
80,Saint-Philippe,RE,-21.3585,55.7679,69.39,87,96,16.37,moderate rain
81,Cherskiy,RU,68.75,161.3,69.6,31,13,8.01,few clouds
82,Kruisfontein,ZA,-34.0033,24.7314,62.02,50,100,0.45,overcast clouds
83,Koson,UZ,39.0375,65.585,75.52,33,0,3.98,clear sky
84,Rawson,AR,-43.3002,-65.1023,55.76,28,100,12.12,overcast clouds
85,San Cristobal,VE,7.7669,-72.225,68.18,98,100,2.95,overcast clouds
86,Norman Wells,CA,65.282,-126.8329,41.04,93,100,13.8,light intensity shower rain
87,Bredasdorp,ZA,-34.5322,20.0403,58.3,72,100,6.58,overcast clouds
88,Provideniya,RU,64.3833,-173.3,42.37,62,100,2.46,overcast clouds
89,Saskylakh,RU,71.9167,114.0833,69.06,29,1,7.29,clear sky
90,Tiksi,RU,71.6872,128.8694,45.12,66,71,6.73,broken clouds
91,Saint-Joseph,RE,-21.3667,55.6167,68.38,85,54,16.49,light rain
92,Romny,UA,50.751,33.4747,59.32,94,2,5.84,clear sky
93,Birjand,IR,32.8663,59.2211,76.24,30,3,8.97,clear sky
94,Marmaris,TR,36.855,28.2742,73.11,79,5,5.97,clear sky
95,Ribeira Grande,PT,38.5167,-28.7,62.92,81,74,22.82,broken clouds
96,Castro,BR,-24.7911,-50.0119,37.49,70,0,4.12,clear sky
97,Leshukonskoye,RU,64.8989,45.7622,57.33,48,100,7.78,overcast clouds
98,Bluff,NZ,-46.6,168.3333,45.81,61,94,24.94,overcast clouds
99,Dikson,RU,73.5069,80.5464,29.98,93,100,17.38,overcast clouds
100,Yaan,NG,7.3833,8.5667,71.98,96,91,3.85,moderate rain
101,Kirakira,SB,-10.4544,161.9205,84.7,70,27,9.1,scattered clouds
102,Sitka,US,57.0531,-135.33,51.69,76,100,0.0,overcast clouds
103,Bambous Virieux,MU,-20.3428,57.7575,70.21,79,58,20.15,light rain
104,Khatanga,RU,71.9667,102.5,67.87,32,100,11.56,overcast clouds
105,Waingapu,ID,-9.6567,120.2641,83.8,59,88,12.84,overcast clouds
106,Mahina,PF,-17.5065,-149.489,83.97,58,20,3.44,few clouds
107,Narsaq,GL,60.9167,-46.05,44.82,93,100,5.14,overcast clouds
108,Tucuman,AR,-26.8241,-65.2226,44.6,93,0,10.36,clear sky
109,Egvekinot,RU,66.3167,-179.1667,46.13,40,100,2.48,overcast clouds
110,Cidreira,BR,-30.1811,-50.2056,49.66,76,37,14.58,scattered clouds
111,Salalah,OM,17.0151,54.0924,82.89,82,10,4.72,clear sky
112,Kargopol,RU,61.5071,38.9456,52.2,81,100,4.99,light rain
113,Esperance,AU,-33.8667,121.9,62.44,70,90,33.26,overcast clouds
114,Sabha,LY,27.0377,14.4283,75.18,35,0,9.31,clear sky
115,Faya,SA,18.3851,42.4509,64.92,18,1,5.08,clear sky
116,Faanui,PF,-16.4833,-151.75,79.75,74,71,22.01,light rain
