City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sibolga,ID,2022-06-09 04:53:31,1.7427,98.7792,84.24,73,52,3.78
1,Mabopane,ZA,2022-06-09 04:53:31,-25.4977,28.1007,38.95,50,0,0.29
2,Rikitea,PF,2022-06-09 04:53:31,-23.1203,-134.9692,71.98,70,100,17.52
3,Ternate,ID,2022-06-09 04:53:32,0.8,127.4,86.22,63,16,4.99
4,Hobart,AU,2022-06-09 04:52:56,-42.8794,147.3294,50.25,64,40,20.71
5,Hilo,US,2022-06-09 04:49:38,19.7297,-155.09,79.29,79,75,8.05
6,Atuona,PF,2022-06-09 04:53:32,-9.8,-139.0333,78.58,71,32,19.33
7,Honnali,IN,2022-06-09 04:53:33,14.25,75.6667,83.34,59,81,12.17
8,Ushuaia,AR,2022-06-09 04:53:33,-54.8,-68.3,33.46,93,100,23.02
9,Kuntaur,GM,2022-06-09 04:53:33,13.6667,-14.8833,82.4,70,100,8.52
10,Raudeberg,NO,2022-06-09 04:53:34,61.9875,5.1352,50.67,89,16,11.21
11,Rock Springs,US,2022-06-09 04:49:14,41.5875,-109.2029,67.05,22,0,3.44
12,Necochea,AR,2022-06-09 04:53:23,-38.5473,-58.7368,49.24,68,41,11.52
13,Port Macquarie,AU,2022-06-09 04:53:06,-31.4333,152.9167,63.9,40,0,5.93
14,San Policarpo,PH,2022-06-09 04:53:34,12.1791,125.5072,85.71,69,93,11.12
15,Guerrero Negro,MX,2022-06-09 04:53:35,27.9769,-114.0611,63.41,83,45,10.69
16,Bambous Virieux,MU,2022-06-09 04:53:35,-20.3428,57.7575,76.21,88,75,14.97
17,Bredasdorp,ZA,2022-06-09 04:53:35,-34.5322,20.0403,55.04,88,0,5.08
18,Doka,SD,2022-06-09 04:53:36,13.5167,35.7667,76.03,68,88,13.98
19,Vaini,TO,2022-06-09 04:53:36,-21.2,-175.2,77.16,78,20,5.75
20,Albany,US,2022-06-09 04:50:47,42.6001,-73.9662,61.21,82,100,1.7
21,Ribeira Grande,PT,2022-06-09 04:53:36,38.5167,-28.7,65.08,94,59,11.03
22,Mahebourg,MU,2022-06-09 04:53:36,-20.4081,57.7,76.24,88,75,14.97
